id;name;gas_price;service_price;street;city;state;zip_code;racing_code;owner_id
1;mobile Fish;77969;59865;Kilback Pine;North Andersonview;seamless Metal deposit;97892;Chips;1
2;methodology Albania;43194;2306;Leopold Glens;North Alycia;Coordinator;40761;Cambridgeshire Mississippi;1
3;Credit Card Account Table Small Frozen Sausages;96563;56328;Gutmann Station;North Darianachester;infomediaries;64801;incentivize Tuna copy;1
4;sky blue Georgia;3131;96958;Isom Streets;Huelsside;Credit Card Account National Awesome;50938;compress South Georgia and the South Sandwich Islands;2
5;Specialist Home Loan Account;27599;14092;Casper Green;North Wymanview;reinvent 24 hour Jewelery;77777;Unbranded Plastic Tuna Frozen;2
6;Investment Account archive Fantastic Plastic Chicken;32518;66592;Louvenia Row;Port Kelley;embrace Developer;77527-2405;partnerships Grocery Intelligent;1
7;withdrawal knowledge base Buckinghamshire;90756;13933;Halle Forges;Nicolasville;Brand;26189-6826;RSS;2
8;maroon;89255;88328;Schoen Mountains;Port Fletaborough;Gorgeous Profit-focused synergies;38301-5544;Bahamian Dollar;1
9;User-centric Gloves;21876;51879;Guido Overpass;North Wanda;Functionality;64731;Supervisor;1
10;Analyst paradigms;3305;27864;Lorenza Hollow;New Burdettemouth;Way Dominican Republic;60732-2783;invoice withdrawal;2
